charity_ID,state_ID
88,1
130,6
139,1
139,3
205,2
265,6
283,1
308,6
435,1
477,1
503,7
549,0
549,1
549,3
549,6
549,7
549,2
549,5
549,4
569,6
593,7
627,7
643,4
656,6
691,6
728,3
768,5
812,6
817,3
884,3
904,1
914,3
923,6
978,6
1011,3
1014,1
1181,7
1240,6
1249,4
1284,3
1302,6
1397,7
1432,0
1432,1
1432,3
1432,5
1432,4
1457,1
1457,3
1484,6
1509,0
1509,1
1509,3
1509,6
1509,7
1571,2
1584,4
1590,6
1709,3
1710,3
1760,6
1784,6
1785,7
1791,3
1812,3
1829,1
1856,1
1856,3
1913,7
1963,6
1968,1
1979,1
1988,6
2002,5
2016,6
2034,1
2048,1
2049,6
2050,6
2056,1
2173,6
2176,5
2223,3
2240,6
2242,3
2254,6
2262,3
2279,6
2283,0
2290,0
2353,6
2428,1
2453,6
2509,3
2573,6
2623,6
2632,1
2658,4
2666,5
2729,2
2751,4
2760,3
2924,3
2952,1
2983,3
2994,1
3039,1
3064,1
3108,7
3126,6
3135,6
3170,3
3196,6
3198,1
3235,3
3344,6
3392,6
3454,6
3461,4
3509,7
3537,1
3576,1
3588,3
3593,6
3630,5
3640,5
3701,6
3745,0
3762,3
3787,6
3815,1
3818,6
3865,1
3884,6
3885,1
3885,3
3970,6
4054,6
4067,6
4082,6
4149,4
4165,6
4244,6
4253,6
4275,1
4275,3
4289,7
4393,6
4439,6
4441,6
4479,7
4501,6
4505,6
4512,7
4604,1
4702,3
4799,4
4814,0
4814,1
4814,6
4814,7
4814,4
4902,1
4902,3
4902,6
4921,1
4949,4
4958,1
4979,6
5035,6
5037,7
5052,6
5084,6
5091,1
5102,6
5129,7
5171,1
5183,6
5198,6
5214,6
5216,6
5267,1
5271,6
5296,6
5347,6
5353,1
5455,1
5457,6
5550,3
5581,4
5587,0
5595,6
5614,3
5627,6
5637,1
5637,4
5652,6
5675,5
5682,4
5686,6
5740,1
5755,6
5761,6
5774,1
5794,6
5837,6
5847,6
5854,3
5864,4
5884,3
5909,7
5915,0
5928,1
5973,1
6002,1
6003,1
6014,6
6053,3
6099,6
6128,6
6238,6
6293,0
6293,1
6293,3
6293,6
6293,7
6293,2
6293,5
6293,4
6299,1
6346,3
6348,7
6380,6
6401,1
6421,3
6537,3
6597,6
6634,4
6657,3
6658,3
6667,1
6676,5
6727,1
6749,6
6778,5
6784,6
6847,1
6892,4
6929,6
7017,7
7022,1
7033,1
7070,6
7119,6
7123,1
7123,3
7202,4
7214,1
7214,6
7214,4
7216,1
7218,6
7264,6
7278,1
7304,3
7315,1
7334,6
7354,1
7358,6
7360,6
7368,6
7376,1
7381,6
7419,1
7438,0
7438,1
7438,3
7438,6
7438,2
7451,1
7455,1
7485,3
7486,3
7491,1
7505,6
7507,0
7507,1
7507,3
7507,6
7507,4
7565,6
7585,6
7642,6
7644,5
7787,1
7817,1
7817,3
7817,6
7817,7
7817,4
7849,6
7923,6
7929,3
7957,1
7962,1
8067,6
8087,6
8106,6
8186,0
8186,1
8186,3
8186,6
8186,7
8186,2
8186,5
8186,4
8206,4
8210,1
8231,1
8239,7
8301,6
8366,1
8383,6
8399,6
8403,4
8408,6
8413,5
8424,1
8435,6
8597,6
8659,6
8680,5
8694,3
8738,6
8758,6
8805,6
8830,1
8862,1
8870,1
8870,3
8870,6
8870,2
8870,5
8881,1
8917,3
8921,4
8953,6
8971,1
8975,3
8987,6
9051,6
9056,1
9056,3
9072,1
9187,6
9232,3
9284,1
9286,6
9329,1
9334,6
9365,6
9372,7
9393,3
9403,1
9420,6
9431,1
9543,7
9565,6
9578,1
9610,1
9610,3
9610,6
9610,7
9610,4
9641,3
9649,1
9879,1
9879,3
9879,6
9879,7
9879,2
9879,4
9913,7
9951,1
10031,2
10100,1
10153,3
10180,1
10202,1
10202,3
10202,6
10216,6
10267,6
10290,0
10293,6
10297,0
10297,3
10297,5
10320,6
10377,4
10389,6
10394,3
10396,1
10413,1
10420,7
10451,7
10479,6
10514,7
10536,1
10568,6
10589,3
10612,3
10670,2
10670,4
10709,1
10745,6
10767,3
10830,6
10877,6
10889,0
10889,1
10889,3
10889,6
10889,7
10889,2
10889,5
10889,4
10898,3
10982,6
11066,6
11155,5
11169,6
11322,1
11389,1
11460,6
11511,1
11515,1
11542,3
11551,1
11562,6
11619,6
11635,3
11649,1
11649,6
11649,4
11715,1
11724,6
11742,1
11767,6
11779,1
11806,6
11844,1
11862,6
11865,4
11885,0
11885,1
11885,3
11885,6
11885,7
11885,2
11885,5
11889,6
11900,6
11912,1
11921,1
11925,1
11925,3
11925,6
11925,4
11930,1
11933,7
11941,3
11963,6
11965,3
11996,6
12022,3
12066,5
12068,1
12092,1
12121,0
12121,1
12125,6
12127,6
12146,3
12168,5
12182,1
12220,1
12232,6
12248,7
12269,0
12269,1
12269,3
12269,6
12273,3
12315,7
12428,6
12435,4
12442,4
12463,6
12468,5
12517,6
12572,6
12599,1
12600,6
12626,3
12634,1
12634,3
12640,3
12650,6
12668,0
12668,1
12668,3
12668,6
12668,7
12668,2
12668,5
12668,4
12732,3
12738,1
12778,6
12825,1
12929,6
12934,7
12938,4
12959,6
12964,1
12977,1
12996,1
13039,1
13058,3
13097,7
13110,4
13127,0
13154,6
13269,1
13326,3
13411,5
13446,3
13449,0
13449,1
13449,3
13449,6
13449,7
13449,4
13461,3
13526,2
13552,3
13580,1
13610,1
13664,1
13687,6
13732,5
13792,1
13833,6
13835,6
13873,1
13908,1
13913,3
13923,3
13962,0
13962,1
13962,3
13962,6
13962,7
13962,2
13962,5
13962,4
13977,6
14097,1
14117,6
14144,3
14148,7
14152,6
14170,1
14180,1
14180,3
14186,3
14198,3
14198,2
14260,6
14267,7
14293,1
14305,1
14338,4
14351,7
14353,6
14385,4
14400,6
14400,2
14414,6
14422,6
14427,6
14457,4
14481,1
14481,6
14497,1
14508,6
14534,6
14536,6
14570,1
14696,6
14748,7
14763,6
14813,4
14825,3
14828,6
14858,4
14880,6
14889,7
14938,3
14950,6
14994,0
14999,6
15019,4
15088,6
15098,1
15177,1
15177,6
15177,4
15251,7
15278,3
15287,4
15299,1
15300,6
15328,1
15328,3
15328,6
15328,7
15346,1
15346,6
15378,6
15445,6
15475,6
15477,1
15484,3
15515,0
15515,1
15553,1
15570,1
15577,3
15607,6
15732,1
15754,1
15769,2
15791,7
15812,6
15826,1
15850,6
15868,6
15870,1
15870,3
15870,6
15870,7
15870,4
15875,1
16030,1
16106,1
16120,6
16140,6
16159,1
16159,2
16159,4
16188,7
16233,3
16269,6
16339,1
16340,6
16361,0
16373,6
16392,1
16407,4
16439,6
16439,2
16453,1
16457,3
16470,1
16490,7
16555,6
16564,1
16585,3
16596,1
16633,5
16669,6
16699,1
16720,7
16757,6
16780,1
16790,0
16790,1
16790,3
16790,6
16790,7
16790,5
16827,6
16834,3
16905,3
16927,7
17045,6
17067,7
17068,6
17078,6
17122,2
17130,3
17149,7
17153,7
17157,5
17195,0
17195,1
17195,7
17239,0
17248,7
17253,6
17271,3
17294,3
17376,1
17395,1
17412,6
17477,1
17515,0
17515,1
17515,3
17515,6
17515,7
17515,2
17515,5
17515,4
17568,7
17603,1
17640,6
17675,6
17712,1
17743,3
17822,1
17836,6
17846,1
17878,1
17882,1
17949,6
17958,1
17958,3
17958,6
17958,7
17958,4
18001,3
18071,1
18154,3
18178,6
18244,7
18255,7
18258,4
18261,1
18261,4
18263,1
18310,3
18331,1
18335,6
18338,1
18346,6
18386,6
18403,1
18422,1
18450,3
18483,6
18490,6
18519,2
18594,3
18628,6
18697,4
18703,7
18724,5
18755,1
18777,7
18800,1
18834,1
18834,3
18843,1
18857,6
18861,4
18868,3
18872,6
18896,6
18897,1
18921,1
19023,7
19142,1
19189,1
19189,6
19190,4
19252,6
19262,6
19288,3
19344,7
19383,4
19397,3
19403,1
19413,3
19431,6
19459,4
19505,3
19543,0
19543,1
19543,3
19543,6
19543,7
19543,2
19543,4
19548,1
19564,6
19571,5
19591,0
19598,1
19633,6
19669,3
19669,6
19672,1
19673,0
19700,6
19740,1
19773,6
19796,6
19816,1
19816,3
19816,6
19825,3
19876,6
19935,6
19960,0
19960,1
20022,7
20044,3
20066,5
20067,1
20068,5
20121,1
20121,3
20121,6
20144,3
20194,6
20218,6
20230,6
20249,6
20267,7
20271,1
20296,1
20336,6
20391,3
20403,1
20483,6
20485,3
20493,6
20544,6
20616,6
20653,1
20658,1
20688,1
20699,1
20710,6
20735,1
20772,1
20772,3
20772,6
20772,5
20772,4
20837,1
20841,1
20852,4
20911,1
20922,1
20951,6
20976,2
20988,6
20997,1
21001,6
21008,7
21029,1
21029,2
21029,4
21079,6
21117,6
21119,6
21130,6
21140,6
21145,3
21217,1
21262,4
21267,7
21281,6
21283,1
21293,3
21330,2
21364,1
21411,6
21473,3
21501,3
21503,6
21508,0
21508,1
21508,3
21508,6
21508,7
21508,2
21508,5
21508,4
21522,6
21676,7
21680,6
21715,1
21736,6
21756,0
21756,1
21756,3
21756,6
21756,7
21756,2
21756,5
21756,4
21782,7
21794,4
21808,1
21820,6
21859,7
21866,0
21866,1
21884,1
21900,1
21911,6
21970,5
22012,3
22050,7
22106,6
22115,1
22134,5
22144,7
22153,3
22168,4
22258,2
22269,6
22321,1
22372,1
22442,6
22457,6
22480,1
22500,0
22500,1
22500,3
22500,6
22500,4
22528,1
22620,6
22654,1
22664,4
22666,1
22668,3
22686,1
22697,1
22740,1
22764,6
22883,6
22926,3
22926,6
22926,2
23131,1
23152,1
23158,0
23158,1
23196,7
23222,1
23222,3
23222,6
23222,7
23251,1
23254,7
23306,4
23310,4
23330,6
23335,6
23384,6
23393,5
23437,6
23454,0
23454,1
23454,3
23454,6
23454,7
23454,2
23454,5
23454,4
23479,1
23520,1
23596,1
23625,3
23668,7
23701,4
23742,1
23751,6
23810,1
23813,1
23859,1
23871,6
23901,1
23913,1
23976,1
23979,6
24036,1
24044,6
24077,1
24084,3
24096,6
24098,1
24115,1
24133,1
24143,5
24196,6
24232,0
24263,3
24299,7
24311,3
24329,7
24359,1
24370,7
24387,6
24395,3
24417,3
24420,0
24420,1
24420,3
24420,6
24420,7
24420,2
24420,5
24420,4
24464,4
24487,4
24554,2
24572,1
24572,3
24572,6
24572,7
24572,2
24572,4
24586,1
24613,6
24688,6
24691,6
24735,6
24743,1
24800,1
24865,0
24926,1
24926,6
24941,1
24996,1
25044,6
25069,0
25069,1
25069,3
25069,6
25069,7
25069,2
25069,4
25113,7
25117,0
25117,1
25117,3
25117,6
25117,7
25117,5
25117,4
25201,7
25231,1
25350,6
25399,3
25447,6
25457,1
25464,1
25476,1
25478,1
25575,1
25607,6
25622,1
25638,1
25639,1
25640,0
25640,1
25661,6
25734,1
25734,3
25748,3
25792,6
25811,3
25857,7
25894,4
25919,1
25933,7
25979,1
25979,3
25979,6
26004,3
26008,7
26037,6
26086,5
26134,3
26140,6
26152,1
26154,6
26183,3
26191,2
26228,6
26245,6
26276,1
26323,6
26360,1
26360,3
26382,6
26388,6
26393,3
26404,1
26457,7
26522,1
26544,1
26554,3
26571,1
26573,1
26590,6
26594,7
26601,6
26604,1
26614,4
26633,1
26651,6
26691,1
26752,3
26777,0
26830,6
26844,0
26884,6
26923,1
26939,4
26955,0
26955,1
26955,3
26955,6
27006,6
27011,3
27022,4
27074,1
27099,6
27166,6
27170,6
27171,1
27171,6
27180,3
27189,3
27223,3
27238,4
27239,1
27281,3
27314,1
27507,7
27508,4
27533,6
27553,6
27612,1
27655,3
27688,1
27688,3
27697,6
27716,3
27756,6
27765,1
27783,3
27816,6
27822,1
27822,3
27822,6
27822,7
27822,4
27826,6
27888,6
27912,6
27956,5
27963,4
27979,6
28011,1
28031,1
28050,1
28061,1
28068,6
28077,3
28120,1
28150,1
28235,7
28243,6
28246,1
28279,6
28296,3
28363,6
28376,3
28433,7
28468,1
28484,1
28532,1
28536,1
28536,3
28536,6
28540,6
28543,1
28566,1
28591,6
28605,6
28633,3
28646,6
28755,1
28757,4
28873,1
28898,3
28916,1
28984,6
28989,1
29014,7
29072,4
29091,6
29117,6
29163,1
29163,3
29163,6
29163,7
29163,2
29163,4
29179,6
29187,1
29187,3
29187,6
29223,1
29229,1
29241,1
29241,6
29248,3
29254,6
29273,6
29296,6
29311,6
29376,6
29402,1
29447,6
29460,6
29478,1
29537,0
29561,1
29743,3
29789,6
29794,3
29804,0
29804,1
29804,3
29804,6
29804,4
30000,6
30115,6
30209,0
30209,2
30233,6
30244,7
30249,6
30258,6
30270,3
30277,6
30413,6
30427,6
30449,6
30487,1
30492,0
30492,1
30492,5
30498,7
30501,6
30503,3
30538,1
30551,1
30635,7
30656,7
30700,6
30724,6
30788,1
30788,3
30793,3
30802,6
30900,1
30912,7
30913,6
30921,6
30930,1
30943,3
30956,1
31074,0
31074,1
31074,6
31074,7
31122,3
31143,3
31176,0
31176,1
31176,3
31176,6
31176,7
31176,2
31176,5
31176,4
31204,1
31242,4
31275,2
31334,1
31340,1
31399,1
31404,7
31452,3
31505,1
31536,6
31539,1
31554,6
31583,1
31607,0
31607,1
31607,3
31607,6
31607,7
31607,2
31607,5
31607,4
31625,0
31625,1
31639,6
31641,3
31643,1
31725,6
31733,6
31738,0
31738,1
31738,3
31738,6
31738,7
31738,2
31738,5
31738,4
31759,3
31770,3
31773,1
31901,4
31905,1
31925,1
31952,6
32007,1
32043,6
32044,3
32049,4
32125,1
32201,7
32257,7
32261,4
32292,3
32296,3
32300,1
32329,1
32395,6
32484,1
32598,1
32620,3
32632,7
32685,1
32702,7
32718,1
32783,0
32783,1
32783,3
32783,6
32783,7
32783,2
32783,5
32783,4
32793,7
32794,0
32794,1
32794,2
32804,0
32808,6
32809,1
32814,0
32814,1
32825,3
32847,6
32856,3
32876,4
32880,7
32888,7
32905,6
32927,1
32947,1
32985,3
32999,1
33022,1
33043,6
33094,3
33104,1
33126,1
33144,6
33159,4
33163,0
33163,1
33163,6
33163,7
33163,4
33172,3
33176,3
33257,4
33263,1
33287,1
33290,3
33298,3
33318,1
33341,3
33462,4
33492,7
33493,1
33508,1
33541,0
33541,1
33541,3
33541,6
33615,4
33643,7
33654,0
33682,1
33692,6
33727,7
33765,3
33786,1
33800,3
33844,1
33872,1
33872,3
33872,6
33875,6
33880,3
33949,6
33974,1
33991,6
34089,6
34089,7
34113,3
34153,5
34195,3
34233,6
34258,1
34285,7
34354,3
34457,1
34462,3
34474,3
34483,3
34509,1
34509,3
34509,6
34509,7
34509,4
34513,6
34525,1
34528,3
34537,2
34537,4
34588,2
34593,6
34647,3
34663,6
34686,3
34759,4
34771,1
34771,3
34771,6
34771,2
34771,4
34786,5
34796,7
34799,1
34804,3
34806,3
34821,6
34829,6
34838,3
34876,1
34886,6
34915,7
34992,1
35023,1
35060,6
35063,6
35168,1
35253,6
35267,4
35393,7
35490,1
35497,3
35505,6
35553,6
35585,6
35614,1
35620,1
35676,2
35684,6
35716,1
35727,6
35778,6
35790,1
35799,7
35860,6
35883,3
35951,4
36001,5
36053,6
36057,3
36058,7
36078,4
36122,3
36143,1
36156,6
36177,3
36198,1
36216,2
36216,4
36285,3
36290,6
36311,1
36333,6
36334,3
36395,1
36453,6
36468,6
36472,6
36510,3
36511,6
36551,1
36558,6
36561,1
36563,7
36570,6
36604,5
36627,1
36627,3
36648,7
36683,1
36689,6
36758,6
36774,7
36787,1
36823,6
36829,5
36836,5
36841,6
36878,3
36906,1
37004,1
37080,1
37112,0
37112,1
37112,3
37112,6
37112,7
37112,2
37112,5
37112,4
37115,6
37170,1
37211,6
37244,7
37274,7
37298,6
37308,7
37326,1
37376,3
37408,6
37417,3
37417,6
37417,4
37427,4
37445,0
37446,1
37451,0
37451,1
37451,3
37451,6
37451,7
37451,2
37451,5
37451,4
37455,4
37479,1
37491,6
37505,4
37536,3
37594,7
37641,0
37654,1
37684,3
37725,6
37740,6
37790,0
37790,1
37790,3
37790,6
37790,7
37790,5
37790,4
37818,3
37848,1
37870,1
37882,7
37940,1
37964,7
37983,6
38007,7
38071,3
38078,1
38078,6
38078,7
38080,3
38080,6
38102,3
38102,4
38133,1
38159,1
38179,6
38201,1
38221,6
38283,3
38288,7
38336,6
38346,6
38463,7
38465,1
38475,0
38475,1
38475,3
38475,6
38475,7
38475,2
38475,4
38489,6
38505,7
38519,7
38528,1
38539,6
38545,1
38575,6
38624,6
38628,1
38678,0
38678,1
38678,3
38678,6
38678,7
38678,2
38678,4
38681,3
38698,3
38778,4
38787,1
38815,1
38818,1
38863,3
38926,3
38948,6
39017,1
